feature_set_mode,rows,selected_model,accuracy,f1_macro,balanced_accuracy,feature_count
pre_event,35,logistic_regression,0.8571428571428571,0.8857142857142857,0.8888888888888888,18
post_event,35,logistic_regression,1.0,1.0,1.0,19
