year_month,feature,missing_rate,rows
2020-01,cloud_cover,0.0,9591
2020-01,sunshine,0.0,9591
2020-01,global_radiation,0.0,9591
2020-01,max_temp,0.0,9591
2020-01,mean_temp,0.0,9591
2020-01,min_temp,0.0,9591
2020-01,precipitation,0.0,9591
2020-01,pressure,0.0,9591
2020-02,cloud_cover,0.0,8546
2020-02,sunshine,0.0,8546
2020-02,global_radiation,0.0,8546
2020-02,max_temp,0.03943365317107419,8546
2020-02,mean_temp,0.03943365317107419,8546
2020-02,min_temp,0.0,8546
2020-02,precipitation,0.03943365317107419,8546
2020-02,pressure,0.0,8546
2020-03,cloud_cover,0.0,6551
2020-03,sunshine,0.0,6551
2020-03,global_radiation,0.0,6551
2020-03,max_temp,0.04045183941382995,6551
2020-03,mean_temp,0.04045183941382995,6551
2020-03,min_temp,0.0,6551
2020-03,precipitation,0.04045183941382995,6551
2020-03,pressure,0.0,6551
2020-04,cloud_cover,0.0,3298
2020-04,sunshine,0.0,3298
2020-04,global_radiation,0.0,3298
2020-04,max_temp,0.0,3298
2020-04,mean_temp,0.0,3298
2020-04,min_temp,0.0,3298
2020-04,precipitation,0.0,3298
2020-04,pressure,0.0,3298
2020-05,cloud_cover,0.0,5599
2020-05,sunshine,0.0,5599
2020-05,global_radiation,0.0,5599
2020-05,max_temp,0.030541168065726022,5599
2020-05,mean_temp,0.030541168065726022,5599
2020-05,min_temp,0.030541168065726022,5599
2020-05,precipitation,0.05679585640292909,5599
2020-05,pressure,0.0,5599
2020-06,cloud_cover,0.0,6721
2020-06,sunshine,0.0,6721
2020-06,global_radiation,0.0,6721
2020-06,max_temp,0.0,6721
2020-06,mean_temp,0.03481624758220503,6721
2020-06,min_temp,0.03481624758220503,6721
2020-06,precipitation,0.02916232703466746,6721
2020-06,pressure,0.0,6721
2020-07,cloud_cover,0.0,8157
2020-07,sunshine,0.0,8157
2020-07,global_radiation,0.0,8157
2020-07,max_temp,0.02917739364962609,8157
2020-07,mean_temp,0.02917739364962609,8157
2020-07,min_temp,0.0,8157
2020-07,precipitation,0.02917739364962609,8157
2020-07,pressure,0.0,8157
2020-08,cloud_cover,0.0,8875
2020-08,sunshine,0.0,8875
